상품ID(내부용),상품명,카테고리,판매가,재고수량,옵션명1,옵션값1,옵션명2,옵션값2,브랜드,모델명,바코드,상세설명,대표이미지URL,추가이미지URL1,배송비,배송방법,원산지,제조사,과세구분,판매상태,전시상태,에러타입,에러메시지
2,[NAVYFOX] 더미 상품 002 (화이트/250),식품 > 과자/간식 > 과자,65000,168,색상,화이트,사이즈,250,NAVYFOX,MDL-0002,880560635885,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 002 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: 250, 카테고리: 식품 > 과자/간식 > 과자.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,일본,NAVYFOX 제조사,과세,판매중,전시안함,VALIDATION_ERROR,"행 3: 카테고리 매핑을 찾을 수 없습니다: '식품 > 과자/간식 > 과자'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
10,[COOKMASTER] 더미 상품 010 (블랙/260),생활/주방 > 주방용품 > 프라이팬,147000,109,색상,블랙,사이즈,260,COOKMASTER,MDL-0010,880794405553,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 010 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: 260, 카테고리: 생활/주방 > 주방용품 > 프라이팬.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,베트남,COOKMASTER 제조사,과세,판매중,전시안함,VALIDATION_ERROR,"행 11: 카테고리 매핑을 찾을 수 없습니다: '생활/주방 > 주방용품 > 프라이팬'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
17,[MOON] 더미 상품 017 (블랙/250),식품 > 과자/간식 > 과자,82000,86,색상,블랙,사이즈,250,MOON,MDL-0017,880862305644,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 017 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: 250, 카테고리: 식품 > 과자/간식 > 과자.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,중국,MOON 제조사,과세,판매중,전시안함,VALIDATION_ERROR,"행 18: 카테고리 매핑을 찾을 수 없습니다: '식품 > 과자/간식 > 과자'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
20,[NAVYFOX] 더미 상품 020 (레드/250),식품 > 과자/간식 > 과자,42500,150,색상,레드,사이즈,250,NAVYFOX,MDL-0020,880585781204,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 020 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: 250, 카테고리: 식품 > 과자/간식 > 과자.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,미국,NAVYFOX 제조사,과세,판매중,전시중,VALIDATION_ERROR,"행 21: 카테고리 매핑을 찾을 수 없습니다: '식품 > 과자/간식 > 과자'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
31,[MOON] 더미 상품 031 (그레이/250),식품 > 과자/간식 > 과자,8500,40,색상,그레이,사이즈,250,MOON,MDL-0031,880250677318,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 031 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: 250, 카테고리: 식품 > 과자/간식 > 과자.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,베트남,MOON 제조사,과세,판매중,전시중,VALIDATION_ERROR,"행 32: 카테고리 매핑을 찾을 수 없습니다: '식품 > 과자/간식 > 과자'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
39,[URBANWEAR] 더미 상품 039 (화이트/FREE),생활/주방 > 주방용품 > 프라이팬,48000,187,색상,화이트,사이즈,FREE,URBANWEAR,MDL-0039,880131540898,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 039 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: FREE, 카테고리: 생활/주방 > 주방용품 > 프라이팬.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,일본,URBANWEAR 제조사,면세,판매중,전시중,VALIDATION_ERROR,"행 40: 카테고리 매핑을 찾을 수 없습니다: '생활/주방 > 주방용품 > 프라이팬'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
41,[GREENPET] 더미 상품 041 (화이트/250),생활/주방 > 주방용품 > 프라이팬,134000,39,색상,화이트,사이즈,250,GREENPET,MDL-0041,880429362478,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 041 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: 250, 카테고리: 생활/주방 > 주방용품 > 프라이팬.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,한진택배,국산,GREENPET 제조사,면세,품절,전시중,VALIDATION_ERROR,"행 42: 카테고리 매핑을 찾을 수 없습니다: '생활/주방 > 주방용품 > 프라이팬'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
48,[GREENPET] 더미 상품 048 (네이비/M),생활/주방 > 주방용품 > 프라이팬,50500,53,색상,네이비,사이즈,M,GREENPET,MDL-0048,880505478168,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 048 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: M, 카테고리: 생활/주방 > 주방용품 > 프라이팬.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,일본,GREENPET 제조사,과세,품절,전시안함,VALIDATION_ERROR,"행 49: 카테고리 매핑을 찾을 수 없습니다: '생활/주방 > 주방용품 > 프라이팬'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
51,[COOKMASTER] 더미 상품 051 (네이비/M),식품 > 과자/간식 > 과자,26500,106,색상,네이비,사이즈,M,COOKMASTER,MDL-0051,880518335012,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 051 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: M, 카테고리: 식품 > 과자/간식 > 과자.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,독일,COOKMASTER 제조사,과세,품절,전시안함,VALIDATION_ERROR,"행 52: 카테고리 매핑을 찾을 수 없습니다: '식품 > 과자/간식 > 과자'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
55,[URBANWEAR] 더미 상품 055 (블랙/L),생활/주방 > 주방용품 > 프라이팬,46000,136,색상,블랙,사이즈,L,URBANWEAR,MDL-0055,880312337221,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 055 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: L, 카테고리: 생활/주방 > 주방용품 > 프라이팬.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,택배,미국,URBANWEAR 제조사,면세,품절,전시안함,VALIDATION_ERROR,"행 56: 카테고리 매핑을 찾을 수 없습니다: '생활/주방 > 주방용품 > 프라이팬'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
56,[MOON] 더미 상품 056 (네이비/250),생활/주방 > 주방용품 > 프라이팬,8500,167,색상,네이비,사이즈,250,MOON,MDL-0056,880783897725,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 056 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: 250, 카테고리: 생활/주방 > 주방용품 > 프라이팬.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,중국,MOON 제조사,과세,품절,전시안함,VALIDATION_ERROR,"행 57: 카테고리 매핑을 찾을 수 없습니다: '생활/주방 > 주방용품 > 프라이팬'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
57,[MOON] 더미 상품 057 (그레이/FREE),식품 > 과자/간식 > 과자,128500,181,색상,그레이,사이즈,FREE,MOON,MDL-0057,880461683809,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 057 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: FREE, 카테고리: 식품 > 과자/간식 > 과자.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,택배,일본,MOON 제조사,면세,판매중,전시중,VALIDATION_ERROR,"행 58: 카테고리 매핑을 찾을 수 없습니다: '식품 > 과자/간식 > 과자'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
61,[NAVYFOX] 더미 상품 061 (레드/XL),생활/주방 > 주방용품 > 프라이팬,40500,172,색상,레드,사이즈,XL,NAVYFOX,MDL-0061,880927634389,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 061 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: XL, 카테고리: 생활/주방 > 주방용품 > 프라이팬.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,택배,국산,NAVYFOX 제조사,과세,품절,전시중,VALIDATION_ERROR,"행 62: 카테고리 매핑을 찾을 수 없습니다: '생활/주방 > 주방용품 > 프라이팬'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
65,[URBANWEAR] 더미 상품 065 (네이비/XL),패션의류 > 하의 > 청바지,110500,142,색상,네이비,사이즈,XL,URBANWEAR,MDL-0065,880880719511,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 065 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: XL, 카테고리: 패션의류 > 하의 > 청바지.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,택배,일본,URBANWEAR 제조사,과세,판매중,전시중,API_ERROR,이미지 업로드 실패: https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg. 네이버 서버에 이미지를 업로드해야 합니다.
70,[URBANWEAR] 더미 상품 070 (베이지/270),생활/주방 > 주방용품 > 프라이팬,131500,117,색상,베이지,사이즈,270,URBANWEAR,MDL-0070,880354070513,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 070 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: 270, 카테고리: 생활/주방 > 주방용품 > 프라이팬.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,택배,국산,URBANWEAR 제조사,면세,품절,전시중,VALIDATION_ERROR,"행 71: 카테고리 매핑을 찾을 수 없습니다: '생활/주방 > 주방용품 > 프라이팬'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
71,[TECHONE] 더미 상품 071 (베이지/M),식품 > 과자/간식 > 과자,55000,21,색상,베이지,사이즈,M,TECHONE,MDL-0071,880275142133,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 071 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: M, 카테고리: 식품 > 과자/간식 > 과자.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,베트남,TECHONE 제조사,과세,판매중,전시중,VALIDATION_ERROR,"행 72: 카테고리 매핑을 찾을 수 없습니다: '식품 > 과자/간식 > 과자'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
