행번호,상품ID(내부용),상품명,카테고리,판매가,재고수량,옵션명1,옵션값1,옵션명2,옵션값2,브랜드,모델명,바코드,상세설명,대표이미지URL,추가이미지URL1,배송비,배송방법,원산지,제조사,과세구분,판매상태,전시상태,상품ID
2,1,[URBANWEAR] 더미 상품 001 (레드/FREE),패션의류 > 상의 > 티셔츠,116500,8,색상,레드,사이즈,FREE,URBANWEAR,MDL-0001,880851364605,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 001 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: FREE, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,한진택배,중국,URBANWEAR 제조사,면세,판매중,전시안함,,12706810464
3,2,[NAVYFOX] 더미 상품 002 (화이트/250),식품 > 과자/간식 > 과자,65000,168,색상,화이트,사이즈,250,NAVYFOX,MDL-0002,880560635885,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 002 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: 250, 카테고리: 식품 > 과자/간식 > 과자.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,일본,NAVYFOX 제조사,과세,판매중,전시안함,,12706810534
4,3,[MOON] 더미 상품 003 (베이지/FREE),패션잡화 > 가방 > 백팩,71000,44,색상,베이지,사이즈,FREE,MOON,MDL-0003,880715977078,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 003 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: FREE, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,베트남,MOON 제조사,면세,판매중,전시중,,12706810604
5,4,[MOON] 더미 상품 004 (블랙/L),패션잡화 > 가방 > 백팩,92500,39,색상,블랙,사이즈,L,MOON,MDL-0004,880669791194,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 004 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: L, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,국산,MOON 제조사,면세,품절,전시중,,12706810688
6,5,[URBANWEAR] 더미 상품 005 (블랙/FREE),디지털/가전 > 모니터,141000,149,색상,블랙,사이즈,FREE,URBANWEAR,MDL-0005,880765014168,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 005 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: FREE, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,중국,URBANWEAR 제조사,면세,판매중,전시중,,12706810765
7,6,[NAVYFOX] 더미 상품 006 (베이지/270),패션잡화 > 가방 > 백팩,10500,102,색상,베이지,사이즈,270,NAVYFOX,MDL-0006,880949447912,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 006 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: 270, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,일본,NAVYFOX 제조사,면세,판매중,전시중,,12706810844
8,7,[MOON] 더미 상품 007 (베이지/250),디지털/가전 > 모니터,122500,164,색상,베이지,사이즈,250,MOON,MDL-0007,880179744369,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 007 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: 250, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,일본,MOON 제조사,면세,판매중,전시안함,,12706810908
9,8,[COOKMASTER] 더미 상품 008 (베이지/M),디지털/가전 > 모니터,126500,129,색상,베이지,사이즈,M,COOKMASTER,MDL-0008,880661270315,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 008 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: M, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,중국,COOKMASTER 제조사,과세,판매중,전시안함,,12706810983
10,9,[COOKMASTER] 더미 상품 009 (화이트/260),디지털/가전 > 노트북,84000,49,색상,화이트,사이즈,260,COOKMASTER,MDL-0009,880579256982,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 009 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: 260, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,택배,미국,COOKMASTER 제조사,면세,판매중,전시안함,,12706811051
11,10,[COOKMASTER] 더미 상품 010 (블랙/260),생활/주방 > 주방용품 > 프라이팬,147000,109,색상,블랙,사이즈,260,COOKMASTER,MDL-0010,880794405553,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 010 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: 260, 카테고리: 생활/주방 > 주방용품 > 프라이팬.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,베트남,COOKMASTER 제조사,과세,판매중,전시안함,,12706811124
