상품ID(내부용),상품명,카테고리,판매가,재고수량,옵션명1,옵션값1,옵션명2,옵션값2,브랜드,모델명,바코드,상세설명,대표이미지URL,추가이미지URL1,배송비,배송방법,원산지,제조사,과세구분,판매상태,전시상태,상품ID
1,[URBANWEAR] 더미 상품 001 (레드/FREE),패션의류 > 상의 > 티셔츠,116500,8,색상,레드,사이즈,FREE,URBANWEAR,MDL-0001,880851364605,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 001 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: FREE, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,한진택배,중국,URBANWEAR 제조사,면세,판매중,전시안함,12708906966
3,[MOON] 더미 상품 003 (베이지/FREE),패션잡화 > 가방 > 백팩,71000,44,색상,베이지,사이즈,FREE,MOON,MDL-0003,880715977078,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 003 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: FREE, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,베트남,MOON 제조사,면세,판매중,전시중,12708907055
4,[MOON] 더미 상품 004 (블랙/L),패션잡화 > 가방 > 백팩,92500,39,색상,블랙,사이즈,L,MOON,MDL-0004,880669791194,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 004 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: L, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,국산,MOON 제조사,면세,품절,전시중,12708907150
5,[URBANWEAR] 더미 상품 005 (블랙/FREE),디지털/가전 > 모니터,141000,149,색상,블랙,사이즈,FREE,URBANWEAR,MDL-0005,880765014168,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 005 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: FREE, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,중국,URBANWEAR 제조사,면세,판매중,전시중,12708907245
6,[NAVYFOX] 더미 상품 006 (베이지/270),패션잡화 > 가방 > 백팩,10500,102,색상,베이지,사이즈,270,NAVYFOX,MDL-0006,880949447912,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 006 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: 270, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,일본,NAVYFOX 제조사,면세,판매중,전시중,12708907341
7,[MOON] 더미 상품 007 (베이지/250),디지털/가전 > 모니터,122500,164,색상,베이지,사이즈,250,MOON,MDL-0007,880179744369,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 007 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: 250, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,일본,MOON 제조사,면세,판매중,전시안함,12708907416
8,[COOKMASTER] 더미 상품 008 (베이지/M),디지털/가전 > 모니터,126500,129,색상,베이지,사이즈,M,COOKMASTER,MDL-0008,880661270315,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 008 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: M, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,중국,COOKMASTER 제조사,과세,판매중,전시안함,12708907540
9,[COOKMASTER] 더미 상품 009 (화이트/260),디지털/가전 > 노트북,84000,49,색상,화이트,사이즈,260,COOKMASTER,MDL-0009,880579256982,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 009 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: 260, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,택배,미국,COOKMASTER 제조사,면세,판매중,전시안함,12708907699
11,[TECHONE] 더미 상품 011 (베이지/270),패션잡화 > 가방 > 백팩,107000,186,색상,베이지,사이즈,270,TECHONE,MDL-0011,880540529593,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 011 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: 270, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,중국,TECHONE 제조사,과세,품절,전시중,12708907777
12,[STARLINE] 더미 상품 012 (화이트/250),패션의류 > 하의 > 청바지,63000,1,색상,화이트,사이즈,250,STARLINE,MDL-0012,880995518342,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 012 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: 250, 카테고리: 패션의류 > 하의 > 청바지.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,일본,STARLINE 제조사,면세,품절,전시중,12708907862
13,[HOMEPLUS] 더미 상품 013 (그레이/XL),패션잡화 > 가방 > 백팩,125500,114,색상,그레이,사이즈,XL,HOMEPLUS,MDL-0013,880358967503,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 013 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: XL, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,베트남,HOMEPLUS 제조사,면세,품절,전시중,12708907945
14,[COOKMASTER] 더미 상품 014 (네이비/270),반려동물 > 강아지용품 > 사료,45000,82,색상,네이비,사이즈,270,COOKMASTER,MDL-0014,880609031264,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 014 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: 270, 카테고리: 반려동물 > 강아지용품 > 사료.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,일본,COOKMASTER 제조사,과세,품절,전시안함,12708908059
15,[NAVYFOX] 더미 상품 015 (레드/M),패션잡화 > 가방 > 백팩,40500,10,색상,레드,사이즈,M,NAVYFOX,MDL-0015,880808353118,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 015 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: M, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,택배,중국,NAVYFOX 제조사,면세,품절,전시안함,12708908119
16,[COOKMASTER] 더미 상품 016 (그레이/XL),디지털/가전 > 모니터,20000,168,색상,그레이,사이즈,XL,COOKMASTER,MDL-0016,880942331110,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 016 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: XL, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,국산,COOKMASTER 제조사,면세,판매중,전시중,12708908214
18,[MOON] 더미 상품 018 (화이트/270),패션의류 > 하의 > 청바지,35000,20,색상,화이트,사이즈,270,MOON,MDL-0018,880605067834,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 018 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: 270, 카테고리: 패션의류 > 하의 > 청바지.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,한진택배,국산,MOON 제조사,과세,판매중,전시중,12708908289
19,[URBANWEAR] 더미 상품 019 (블랙/FREE),디지털/가전 > 노트북,71000,88,색상,블랙,사이즈,FREE,URBANWEAR,MDL-0019,880805397256,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 019 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: FREE, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,중국,URBANWEAR 제조사,면세,판매중,전시중,12708908370
21,[TECHONE] 더미 상품 021 (블랙/L),패션잡화 > 가방 > 백팩,16000,158,색상,블랙,사이즈,L,TECHONE,MDL-0021,880851082307,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 021 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: L, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,베트남,TECHONE 제조사,면세,판매중,전시안함,12708908461
22,[STARLINE] 더미 상품 022 (네이비/260),패션의류 > 상의 > 티셔츠,141500,199,색상,네이비,사이즈,260,STARLINE,MDL-0022,880674030715,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 022 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: 260, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,택배,독일,STARLINE 제조사,면세,판매중,전시안함,12708908546
23,[URBANWEAR] 더미 상품 023 (베이지/M),디지털/가전 > 노트북,87000,41,색상,베이지,사이즈,M,URBANWEAR,MDL-0023,880954304901,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 023 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: M, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,택배,국산,URBANWEAR 제조사,면세,품절,전시중,12708908604
24,[STARLINE] 더미 상품 024 (네이비/XL),디지털/가전 > 노트북,35000,32,색상,네이비,사이즈,XL,STARLINE,MDL-0024,880112284511,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 024 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: XL, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,일본,STARLINE 제조사,면세,판매중,전시안함,12708908683
25,[URBANWEAR] 더미 상품 025 (블랙/M),반려동물 > 강아지용품 > 사료,19500,200,색상,블랙,사이즈,M,URBANWEAR,MDL-0025,880676763326,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 025 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: M, 카테고리: 반려동물 > 강아지용품 > 사료.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,미국,URBANWEAR 제조사,면세,품절,전시중,12708908755
26,[GREENPET] 더미 상품 026 (레드/M),패션의류 > 상의 > 티셔츠,131000,19,색상,레드,사이즈,M,GREENPET,MDL-0026,880166563831,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 026 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: M, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,택배,국산,GREENPET 제조사,과세,품절,전시중,12708908848
27,[GREENPET] 더미 상품 027 (네이비/XL),패션의류 > 하의 > 청바지,33500,130,색상,네이비,사이즈,XL,GREENPET,MDL-0027,880157282815,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 027 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: XL, 카테고리: 패션의류 > 하의 > 청바지.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,독일,GREENPET 제조사,면세,품절,전시안함,12708908927
28,[GREENPET] 더미 상품 028 (네이비/250),반려동물 > 강아지용품 > 사료,88500,103,색상,네이비,사이즈,250,GREENPET,MDL-0028,880288620186,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 028 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: 250, 카테고리: 반려동물 > 강아지용품 > 사료.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,국산,GREENPET 제조사,과세,품절,전시중,12708908992
29,[TECHONE] 더미 상품 029 (베이지/L),디지털/가전 > 노트북,14000,61,색상,베이지,사이즈,L,TECHONE,MDL-0029,880774995818,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 029 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: L, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,독일,TECHONE 제조사,과세,판매중,전시중,12708909089
30,[HOMEPLUS] 더미 상품 030 (베이지/L),디지털/가전 > 노트북,66000,121,색상,베이지,사이즈,L,HOMEPLUS,MDL-0030,880986826768,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 030 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: L, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,베트남,HOMEPLUS 제조사,과세,품절,전시안함,12708909160
32,[TECHONE] 더미 상품 032 (레드/270),디지털/가전 > 모니터,20000,46,색상,레드,사이즈,270,TECHONE,MDL-0032,880557155930,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 032 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: 270, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,국산,TECHONE 제조사,면세,품절,전시안함,12708909221
